Idade;Sexo;Tipo de Assinatura;Valor da Assinatura;Modalidade;Cidade de Entrega;Nome do Bairro;Número Exemplares;Número Exemplares Entregues;Quantidade Parcelas Contrato;Data de Validade Inicial;Data de Validade Final
81;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque da Liberdade;261;261;10;04/04/2023 00:00;02/04/2024 00:00
88;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Tarraf;261;260;3;04/04/2023 00:00;02/04/2024 00:00
74;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Tarraf;261;260;4;04/04/2023 00:00;02/04/2024 00:00
75;F;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;261;8;04/04/2023 00:00;02/04/2024 00:00
58;M;Combo;780;Anual;Mirassol;AEROPORTO;156;161;12;04/04/2023 00:00;02/04/2024 00:00
76;M;Impressa;1251,75;Anual;São José do Rio Preto;QUINTA DO GOLFE;261;260;10;04/04/2023 00:00;02/04/2024 00:00
114;M;Impressa;1251,75;Anual;Uchoa;PROGRESSO;261;261;12;04/04/2023 00:00;02/04/2024 00:00
58;M;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;259;11;05/04/2023 00:00;03/04/2024 00:00
85;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque Estoril;261;260;1;05/04/2023 00:00;03/04/2024 00:00
58;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Esplanada;261;260;12;05/04/2023 00:00;03/04/2024 00:00
58;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Maria Cândida;261;259;10;05/04/2023 00:00;03/04/2024 00:00
67;F;Impressa;1251,75;Anual;São José do Rio Preto;Solo Sagrado I;261;259;12;05/04/2023 00:00;03/04/2024 00:00
54;M;Impressa;1251,75;Anual;São José do Rio Preto;Cidade Nova;261;259;12;05/04/2023 00:00;03/04/2024 00:00
56;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim São Paulo;261;260;12;05/04/2023 00:00;03/04/2024 00:00
60;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Ipiranga;261;260;8;05/04/2023 00:00;03/04/2024 00:00
60;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque Industrial;261;260;12;05/04/2023 00:00;03/04/2024 00:00
60;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim do Bosque;261;260;12;05/04/2023 00:00;03/04/2024 00:00
64;F;Impressa;1251,75;Anual;São José do Rio Preto;Conjunto Habitacional Costa do Sol;261;260;1;05/04/2023 00:00;03/04/2024 00:00
64;F;Impressa;1251,75;Anual;São José do Rio Preto;Vila Zilda;261;260;12;05/04/2023 00:00;03/04/2024 00:00
54;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque Residencial Damha;261;260;11;05/04/2023 00:00;03/04/2024 00:00
56;M;Impressa;1251,75;Anual;Engenheiro Schmitt;Centro;261;260;10;05/04/2023 00:00;03/04/2024 00:00
63;M;Impressa;1251,75;Anual;Mirassol;Centro;261;260;12;05/04/2023 00:00;03/04/2024 00:00
79;M;Impressa;1251,75;Anual;Tanabi;A DEFINIR;261;259;10;05/04/2023 00:00;05/04/2024 00:00
56;M;Impressa;1251,75;Anual;Fernandópolis;A DEFINIR;261;260;10;05/04/2023 00:00;03/04/2024 00:00
88;M;Digital;1251,75;Anual;São José do Rio Preto;Parque Residencial Damha;261;263;1;05/04/2023 00:00;03/04/2024 00:00
53;M;Impressa;1251,75;Anual;São José do Rio Preto;Residencial Marcia;261;259;10;05/04/2023 00:00;05/04/2024 00:00
82;M;Impressa;1251,75;Anual;Tanabi;A DEFINIR;261;252;12;05/04/2023 00:00;19/04/2024 00:00
63;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Anchieta;261;259;12;06/04/2023 00:00;05/04/2024 00:00
53;M;Impressa;1251,75;Anual;São José do Rio Preto;São Francisco;261;258;11;06/04/2023 00:00;05/04/2024 00:00
53;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim dos Seixas;261;259;12;06/04/2023 00:00;05/04/2024 00:00
61;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Redentora;261;258;6;06/04/2023 00:00;05/04/2024 00:00
58;M;Digital;1251,75;Anual;São José do Rio Preto;Parque Industrial;261;261;11;06/04/2023 00:00;05/04/2024 00:00
52;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Maria Cândida;261;257;12;06/04/2023 00:00;09/04/2024 00:00
53;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Vivendas;261;259;12;06/04/2023 00:00;05/04/2024 00:00
74;M;Combo;780;Anual;São José do Rio Preto;Jardim Vivendas;156;156;1;06/04/2023 00:00;08/04/2024 00:00
56;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque Industrial;261;257;1;06/04/2023 00:00;05/04/2024 00:00
54;M;Digital;1251,75;Anual;São José do Rio Preto;Centro;261;260;6;06/04/2023 00:00;05/04/2024 00:00
60;F;Impressa;1251,75;Anual;São José do Rio Preto;Parque Residencial Damha;261;259;10;06/04/2023 00:00;05/04/2024 00:00
58;F;Digital;1251,75;Anual;São José do Rio Preto;Parque Belvedere;261;262;3;06/04/2023 00:00;05/04/2024 00:00
58;F;Impressa;1251,75;Anual;Nova Granada;Centro;261;259;12;06/04/2023 00:00;05/04/2024 00:00
62;F;Digital;1251,75;Anual;Engenheiro Schmitt;A DEFINIR;261;262;12;06/04/2023 00:00;05/04/2024 00:00
58;M;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;257;2;08/04/2023 00:00;06/04/2024 00:00
83;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Moysés Miguel Haddad;261;257;10;08/04/2023 00:00;06/04/2024 00:00
83;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque Residencial Comendador Mancor Daud;261;257;8;08/04/2023 00:00;06/04/2024 00:00
52;M;Combo;468;Anual;São José do Rio Preto;Parque Residencial Dom Lafaiete Libânio;104;104;12;08/04/2023 00:00;05/04/2024 00:00
52;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Maceno;261;258;10;08/04/2023 00:00;06/04/2024 00:00
68;F;Digital;1251,75;Anual;São José do Rio Preto;Centro;261;260;12;08/04/2023 00:00;06/04/2024 00:00
54;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Anchieta;261;258;10;08/04/2023 00:00;06/04/2024 00:00
55;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Boa Esperança;261;239;12;08/04/2023 00:00;07/05/2024 00:00
65;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque Industrial;261;258;12;08/04/2023 00:00;06/04/2024 00:00
55;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Maceno;261;258;3;08/04/2023 00:00;06/04/2024 00:00
68;F;Combo;468;Anual;São José do Rio Preto;Jardim Tarraf II;104;104;12;08/04/2023 00:00;05/04/2024 00:00
66;M;Combo;468;Anual;São José do Rio Preto;Vila Ideal;104;104;12;08/04/2023 00:00;05/04/2024 00:00
69;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque Industrial;261;257;12;08/04/2023 00:00;06/04/2024 00:00
69;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Boa Esperança;261;258;12;08/04/2023 00:00;06/04/2024 00:00
51;M;Digital;1251,75;Anual;São José do Rio Preto;Distrito Industrial;261;262;12;08/04/2023 00:00;06/04/2024 00:00
77;F;Impressa;1251,75;Anual;São José do Rio Preto;Residencial Marcia;261;258;12;08/04/2023 00:00;06/04/2024 00:00
56;M;Combo;468;Anual;São José do Rio Preto;Vila Anchieta;104;104;12;08/04/2023 00:00;05/04/2024 00:00
69;M;Impressa;1251,75;Anual;São José do Rio Preto;Loteamento San Fernando Valley;261;258;12;08/04/2023 00:00;06/04/2024 00:00
69;M;Impressa;1251,75;Anual;Mirassol;A DEFINIR;261;258;1;08/04/2023 00:00;06/04/2024 00:00
82;M;Combo;468;Anual;NEVES PAULISTA;A DEFINIR;104;104;12;08/04/2023 00:00;05/04/2024 00:00
58;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Anchieta;261;258;10;08/04/2023 00:00;06/04/2024 00:00
56;M;Impressa;1251,75;Anual;Potirendaba;A DEFINIR;261;258;10;08/04/2023 00:00;06/04/2024 00:00
56;M;Combo;468;Anual;Mirassol;A DEFINIR;104;104;12;08/04/2023 00:00;06/04/2024 00:00
54;M;Combo;468;Anual;São José do Rio Preto;QUINTA DO GOLFE;104;104;1;08/04/2023 00:00;06/04/2024 00:00
54;M;Impressa;1251,75;Anual;Bady Bassitt;A DEFINIR;261;258;12;08/04/2023 00:00;06/04/2024 00:00
52;M;Impressa;1251,75;Anual;Riolândia;Centro;261;249;1;08/04/2023 00:00;19/04/2024 00:00
56;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque Estoril;261;257;8;09/04/2023 00:00;08/04/2024 00:00
98;M;Combo;468;Anual;São José do Rio Preto;Centro;104;103;12;09/04/2023 00:00;06/04/2024 00:00
90;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Redentora;261;256;1;09/04/2023 00:00;08/04/2024 00:00
90;M;Impressa;1251,75;Anual;São José do Rio Preto;Eldorado;261;257;12;09/04/2023 00:00;08/04/2024 00:00
98;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Curti;261;255;1;09/04/2023 00:00;10/04/2024 00:00
62;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Ercília;261;245;12;09/04/2023 00:00;24/04/2024 00:00
57;M;Digital;1251,75;Anual;São José do Rio Preto;Bosque da Felicidade;261;259;12;09/04/2023 00:00;08/04/2024 00:00
57;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Moysés Miguel Haddad;261;256;10;09/04/2023 00:00;08/04/2024 00:00
93;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim do Bosque;261;257;12;09/04/2023 00:00;08/04/2024 00:00
52;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Redentora;261;256;10;09/04/2023 00:00;08/04/2024 00:00
54;M;Digital;1251,75;Anual;São José do Rio Preto;Residencial Marcia;261;260;12;09/04/2023 00:00;08/04/2024 00:00
54;F;Combo;468;Anual;Mirassol;AEROPORTO;104;103;12;09/04/2023 00:00;12/04/2024 00:00
85;F;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Caparroz;261;257;12;09/04/2023 00:00;08/04/2024 00:00
52;F;Impressa;1251,75;Anual;São José do Rio Preto;Residencial Marcia;261;257;1;09/04/2023 00:00;08/04/2024 00:00
52;F;Digital;1251,75;Anual;São José do Rio Preto;VILA CASSINI;261;256;12;09/04/2023 00:00;15/04/2024 00:00
72;F;Digital;1251,75;Anual;São José do Rio Preto;Vila Santo Antônio;261;256;12;11/04/2023 00:00;09/04/2024 00:00
78;M;Combo;780;Anual;São José do Rio Preto;Centro;156;142;12;11/04/2023 00:00;13/05/2024 00:00
52;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Moysés Miguel Haddad;261;255;6;11/04/2023 00:00;09/04/2024 00:00
52;M;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;255;6;11/04/2023 00:00;09/04/2024 00:00
54;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Primavera;261;256;12;11/04/2023 00:00;09/04/2024 00:00
52;M;Combo;780;Anual;São José do Rio Preto;Parque Residencial Dom Lafaiete Libânio;156;158;12;11/04/2023 00:00;08/04/2024 00:00
53;M;Impressa;1251,75;Anual;São José do Rio Preto;Residencial Ana Célia;261;256;12;11/04/2023 00:00;09/04/2024 00:00
89;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Anchieta;261;249;12;11/04/2023 00:00;20/04/2024 00:00
56;M;Digital;1251,75;Anual;São José do Rio Preto;Distrito Industrial;261;260;12;11/04/2023 00:00;09/04/2024 00:00
54;F;Impressa;1251,75;Anual;São José do Rio Preto;Cecap;261;256;12;11/04/2023 00:00;09/04/2024 00:00
52;M;Digital;1251,75;Anual;São José do Rio Preto;Centro;261;260;1;11/04/2023 00:00;09/04/2024 00:00
53;F;Combo;780;Anual;São José do Rio Preto;Jardim Tarraf II;156;154;12;11/04/2023 00:00;08/04/2024 00:00
56;M;Combo;780;Anual;São José do Rio Preto;Vila Ideal;156;155;12;11/04/2023 00:00;08/04/2024 00:00
82;M;Combo;780;Anual;São José do Rio Preto;Residencial Marcia;156;157;12;11/04/2023 00:00;08/04/2024 00:00
77;M;Combo;780;Anual;NEVES PAULISTA;A DEFINIR;156;158;12;11/04/2023 00:00;08/04/2024 00:00
50;M;Combo;780;Anual;São José do Rio Preto;Vila Anchieta;156;155;12;11/04/2023 00:00;08/04/2024 00:00
50;M;Impressa;1251,75;Anual;Adolfo;A DEFINIR;261;256;11;11/04/2023 00:00;09/04/2024 00:00
77;F;Combo;780;Anual;Monte Aprazível;A DEFINIR;156;158;1;11/04/2023 00:00;09/04/2024 00:00
77;F;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;255;10;11/04/2023 00:00;09/04/2024 00:00
75;M;Impressa;1251,75;Anual;São José do Rio Preto;QUINTA DO GOLFE;261;255;10;11/04/2023 00:00;09/04/2024 00:00
51;F;Combo;780;Anual;Mirassol;A DEFINIR;156;158;12;11/04/2023 00:00;09/04/2024 00:00
88;M;Impressa;1251,75;Anual;Nipoã;A DEFINIR;261;256;11;11/04/2023 00:00;09/04/2024 00:00
90;M;Combo;780;Anual;São José do Rio Preto;QUINTA DO GOLFE;156;154;1;11/04/2023 00:00;09/04/2024 00:00
51;M;Impressa;1251,75;Anual;José Bonifácio;Centro;261;256;12;11/04/2023 00:00;09/04/2024 00:00
51;M;Impressa;1251,75;Anual;José Bonifácio;A DEFINIR;261;256;12;11/04/2023 00:00;09/04/2024 00:00
53;F;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Moysés Miguel Haddad;261;254;12;12/04/2023 00:00;10/04/2024 00:00
53;F;Impressa;1251,75;Anual;Engenheiro Schmitt;SAO DEOCLECIANO;261;255;12;12/04/2023 00:00;10/04/2024 00:00
87;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Santo Antônio;261;254;6;12/04/2023 00:00;10/04/2024 00:00
83;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Tarraf;261;254;2;12/04/2023 00:00;10/04/2024 00:00
54;M;Impressa;1251,75;Anual;São José do Rio Preto;Residencial Marcia;261;255;12;12/04/2023 00:00;10/04/2024 00:00
89;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque Residencial Damha;261;255;3;12/04/2023 00:00;10/04/2024 00:00
93;M;Combo;780;Anual;São José do Rio Preto;Parque Residencial Damha;156;156;12;12/04/2023 00:00;09/04/2024 00:00
58;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim América;261;255;2;12/04/2023 00:00;10/04/2024 00:00
80;M;Impressa;1251,75;Anual;São José do Rio Preto;Residencial Marcia;261;255;10;12/04/2023 00:00;10/04/2024 00:00
72;F;Impressa;1251,75;Anual;Cajobi;Centro;261;250;10;12/04/2023 00:00;19/04/2024 00:00
72;F;Impressa;1251,75;Anual;José Bonifácio;A DEFINIR;261;255;12;12/04/2023 00:00;10/04/2024 00:00
90;F;Impressa;1251,75;Anual;Ibirá;A DEFINIR;261;255;12;12/04/2023 00:00;10/04/2024 00:00
89;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim dos Seixas;261;254;5;13/04/2023 00:00;12/04/2024 00:00
81;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Imperial;261;254;12;13/04/2023 00:00;12/04/2024 00:00
78;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Palmeiras;261;253;11;13/04/2023 00:00;12/04/2024 00:00
50;M;Digital;1251,75;Anual;São José do Rio Preto;Boa Vista;261;255;1;13/04/2023 00:00;12/04/2024 00:00
50;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Herculano;261;253;12;13/04/2023 00:00;12/04/2024 00:00
74;M;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;253;6;13/04/2023 00:00;12/04/2024 00:00
78;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Yolanda;261;254;11;13/04/2023 00:00;12/04/2024 00:00
78;M;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;253;12;13/04/2023 00:00;12/04/2024 00:00
61;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Ercília;261;253;11;13/04/2023 00:00;12/04/2024 00:00
53;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Santa Catarina;261;253;12;13/04/2023 00:00;12/04/2024 00:00
51;M;Impressa;1251,75;Anual;São José do Rio Preto;Boa Vista;261;253;12;13/04/2023 00:00;12/04/2024 00:00
54;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Residencial Vetorasso;261;239;12;13/04/2023 00:00;08/05/2024 00:00
54;M;Digital;1251,75;Anual;São José do Rio Preto;Residencial Marcia;261;257;12;13/04/2023 00:00;12/04/2024 00:00
84;F;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;253;4;13/04/2023 00:00;12/04/2024 00:00
84;F;Impressa;1251,75;Anual;Mirassol;A DEFINIR;261;253;12;13/04/2023 00:00;13/04/2024 00:00
57;M;Impressa;1251,75;Anual;Palestina;A DEFINIR;261;254;10;13/04/2023 00:00;12/04/2024 00:00
75;F;Impressa;1251,75;Anual;Severínia;A DEFINIR;261;254;10;13/04/2023 00:00;12/04/2024 00:00
68;M;Combo;780;Anual;Talhado (São José do Rio Preto);RES ALTA VISTA;156;155;12;13/04/2023 00:00;10/04/2024 00:00
52;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Santa Cruz;261;252;12;15/04/2023 00:00;13/04/2024 00:00
72;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Maceno;261;253;12;15/04/2023 00:00;13/04/2024 00:00
80;M;Digital;1251,75;Anual;São José do Rio Preto;Jardim Palmeiras;261;253;12;15/04/2023 00:00;13/04/2024 00:00
67;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Palmeiras;261;245;12;15/04/2023 00:00;26/04/2024 00:00
124;M;Impressa;1251,75;Anual;São José do Rio Preto;Bosque da Felicidade;261;253;12;15/04/2023 00:00;13/04/2024 00:00
98;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Imperial;261;252;12;15/04/2023 00:00;13/04/2024 00:00
98;M;Combo;468;Anual;São José do Rio Preto;Centro;104;102;12;15/04/2023 00:00;12/04/2024 00:00
94;M;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;252;10;15/04/2023 00:00;13/04/2024 00:00
41;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Bordon;261;253;6;15/04/2023 00:00;13/04/2024 00:00
81;M;Impressa;1251,75;Anual;São José do Rio Preto;Parque Quinta das Paineiras;261;253;10;15/04/2023 00:00;13/04/2024 00:00
81;M;Digital;1251,75;Anual;São José do Rio Preto;Jardim Novo Aeroporto;261;257;1;15/04/2023 00:00;13/04/2024 00:00
86;M;Digital;1251,75;Anual;São José do Rio Preto;Jardim Europa;261;253;11;15/04/2023 00:00;13/04/2024 00:00
79;M;Impressa;1251,75;Anual;Engenheiro Schmitt;SAO DEOCLECIANO;261;253;12;15/04/2023 00:00;13/04/2024 00:00
85;M;Combo;468;Anual;Engenheiro Schmitt;SAO DEOCLECIANO;104;102;12;15/04/2023 00:00;12/04/2024 00:00
76;M;Combo;468;Anual;São José do Rio Preto;Centro;104;102;12;15/04/2023 00:00;12/04/2024 00:00
78;M;Impressa;1251,75;Anual;São José do Rio Preto;Vila Santo Antônio;261;252;12;15/04/2023 00:00;13/04/2024 00:00
93;M;Digital;1251,75;Anual;São José do Rio Preto;Residencial Ana Célia;261;257;12;15/04/2023 00:00;13/04/2024 00:00
76;M;Impressa;1251,75;Anual;São José do Rio Preto;Centro;261;252;5;15/04/2023 00:00;13/04/2024 00:00
94;M;Combo;468;Anual;São José do Rio Preto;Cecap;104;102;2;15/04/2023 00:00;12/04/2024 00:00
56;M;Combo;468;Anual;São José do Rio Preto;Jardim Santa Lúcia;104;102;12;15/04/2023 00:00;12/04/2024 00:00
52;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Yolanda;261;253;10;15/04/2023 00:00;13/04/2024 00:00
92;M;Digital;1251,75;Anual;São José do Rio Preto;Jardim Novo Aeroporto;261;257;12;15/04/2023 00:00;13/04/2024 00:00
60;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Anielli;261;247;10;15/04/2023 00:00;23/04/2024 00:00
60;M;Combo;468;Anual;São José do Rio Preto;Jardim Vivendas;104;102;1;15/04/2023 00:00;13/04/2024 00:00
54;M;Impressa;1251,75;Anual;São José do Rio Preto;Jardim Tangará;261;252;6;15/04/2023 00:00;13/04/2024 00:00
